score_col,score_bin,bin_rank_high_to_low,rank_in_bin,id,score,label,pred_label,copied_path
dup_score,0.95-1.00,1,1,train_01004,1.0,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_01_0.95_1.00/rank01_dup_score_1p0000_train_01004_label0_pred0.jpg
dup_score,0.95-1.00,1,2,train_00664,1.0,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_01_0.95_1.00/rank02_dup_score_1p0000_train_00664_label0_pred0.jpg
dup_score,0.95-1.00,1,3,train_01151,1.0,1,1,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_01_0.95_1.00/rank03_dup_score_1p0000_train_01151_label1_pred1.jpg
dup_score,0.95-1.00,1,4,train_00087,1.0,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_01_0.95_1.00/rank04_dup_score_1p0000_train_00087_label0_pred0.jpg
dup_score,0.95-1.00,1,5,train_00896,1.0,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_01_0.95_1.00/rank05_dup_score_1p0000_train_00896_label0_pred0.jpg
dup_score,0.55-0.60,9,1,train_00135,0.5625,1,1,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_09_0.55_0.60/rank01_dup_score_0p5625_train_00135_label1_pred1.jpg
dup_score,0.55-0.60,9,2,train_00403,0.5625,1,1,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_09_0.55_0.60/rank02_dup_score_0p5625_train_00403_label1_pred1.jpg
dup_score,0.55-0.60,9,3,train_00194,0.5625,1,1,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_09_0.55_0.60/rank03_dup_score_0p5625_train_00194_label1_pred1.jpg
dup_score,0.55-0.60,9,4,train_00972,0.5625,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_09_0.55_0.60/rank04_dup_score_0p5625_train_00972_label0_pred0.jpg
dup_score,0.55-0.60,9,5,train_00133,0.5625,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_09_0.55_0.60/rank05_dup_score_0p5625_train_00133_label0_pred0.jpg
dup_score,0.20-0.25,16,1,train_01114,0.25,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_16_0.20_0.25/rank01_dup_score_0p2500_train_01114_label0_pred0.jpg
dup_score,0.20-0.25,16,2,train_00283,0.25,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_16_0.20_0.25/rank02_dup_score_0p2500_train_00283_label0_pred0.jpg
dup_score,0.20-0.25,16,3,train_00937,0.25,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_16_0.20_0.25/rank03_dup_score_0p2500_train_00937_label0_pred0.jpg
dup_score,0.20-0.25,16,4,train_01121,0.25,1,1,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_16_0.20_0.25/rank04_dup_score_0p2500_train_01121_label1_pred1.jpg
dup_score,0.20-0.25,16,5,train_01210,0.25,1,1,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_16_0.20_0.25/rank05_dup_score_0p2500_train_01210_label1_pred1.jpg
dup_score,0.05-0.10,19,1,train_00644,0.0625,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_19_0.05_0.10/rank01_dup_score_0p0625_train_00644_label0_pred0.jpg
dup_score,0.05-0.10,19,2,train_01256,0.0625,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_19_0.05_0.10/rank02_dup_score_0p0625_train_01256_label0_pred0.jpg
dup_score,0.05-0.10,19,3,train_00301,0.0625,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_19_0.05_0.10/rank03_dup_score_0p0625_train_00301_label0_pred0.jpg
dup_score,0.05-0.10,19,4,train_01219,0.0625,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_19_0.05_0.10/rank04_dup_score_0p0625_train_01219_label0_pred0.jpg
dup_score,0.05-0.10,19,5,train_00589,0.0625,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_19_0.05_0.10/rank05_dup_score_0p0625_train_00589_label0_pred0.jpg
dup_score,0.00-0.05,20,1,train_00944,0.0,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_20_0.00_0.05/rank01_dup_score_0p0000_train_00944_label0_pred0.jpg
dup_score,0.00-0.05,20,2,train_00941,0.0,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_20_0.00_0.05/rank02_dup_score_0p0000_train_00941_label0_pred0.jpg
dup_score,0.00-0.05,20,3,train_00942,0.0,1,1,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_20_0.00_0.05/rank03_dup_score_0p0000_train_00942_label1_pred1.jpg
dup_score,0.00-0.05,20,4,train_00940,0.0,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_20_0.00_0.05/rank04_dup_score_0p0000_train_00940_label0_pred0.jpg
dup_score,0.00-0.05,20,5,train_00943,0.0,1,1,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/dup_score/bin_20_0.00_0.05/rank05_dup_score_0p0000_train_00943_label1_pred1.jpg
ood_score_v2,0.95-1.00,1,1,train_00179,1.0,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/ood_score_v2/bin_01_0.95_1.00/rank01_ood_score_v2_1p0000_train_00179_label0_pred0.jpg
ood_score_v2,0.95-1.00,1,2,train_00012,1.0,1,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/ood_score_v2/bin_01_0.95_1.00/rank02_ood_score_v2_1p0000_train_00012_label1_pred0.jpg
ood_score_v2,0.95-1.00,1,3,train_00365,1.0,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/ood_score_v2/bin_01_0.95_1.00/rank03_ood_score_v2_1p0000_train_00365_label0_pred0.jpg
ood_score_v2,0.95-1.00,1,4,train_00204,1.0,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/ood_score_v2/bin_01_0.95_1.00/rank04_ood_score_v2_1p0000_train_00204_label0_pred0.jpg
ood_score_v2,0.95-1.00,1,5,train_01138,1.0,0,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/ood_score_v2/bin_01_0.95_1.00/rank05_ood_score_v2_1p0000_train_01138_label0_pred0.jpg
ood_score_v2,0.90-0.95,2,1,train_00231,0.94831094831095,1,1,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/ood_score_v2/bin_02_0.90_0.95/rank01_ood_score_v2_0p9483_train_00231_label1_pred1.jpg
ood_score_v2,0.90-0.95,2,2,train_01113,0.940170940170941,0,1,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/ood_score_v2/bin_02_0.90_0.95/rank02_ood_score_v2_0p9402_train_01113_label0_pred1.jpg
ood_score_v2,0.90-0.95,2,3,train_00990,0.9320309320309333,1,0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_195337/score_bin_sample_exports/ood_score_v2/bin_02_0.90_0.95/rank03_ood_score_v2_0p9320_train_00990_label1_pred0.jpg
