score_col,rank,id,score,label,pred_label,confidence,ood_score_v2,dup_score,source_path,copied_path
mislabel_score_v2_add,1,train_00261,0.9999695304924301,1,0,0.9999492168426514,0.0,0.5625,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00261.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_223101/mislabel_top100_images/mislabel_score_v2_add/rank001_mislabel_score_v2_add_1p0000_train_00261_label1_pred0.jpg
mislabel_score_v2_add,2,train_00389,0.9993930623781153,1,0,0.9989882111549376,0.0,0.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00389.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_223101/mislabel_top100_images/mislabel_score_v2_add/rank002_mislabel_score_v2_add_0p9994_train_00389_label1_pred0.jpg
mislabel_score_v2_add,3,train_00235,0.9989292217634589,1,0,0.9982145428657532,0.0,0.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00235.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_223101/mislabel_top100_images/mislabel_score_v2_add/rank003_mislabel_score_v2_add_0p9989_train_00235_label1_pred0.jpg
mislabel_score_v2_add,4,train_01133,0.997265820420267,1,0,0.9954379200935364,0.0,0.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_01133.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_223101/mislabel_top100_images/mislabel_score_v2_add/rank004_mislabel_score_v2_add_0p9973_train_01133_label1_pred0.jpg
mislabel_score_v2_add,5,train_01009,0.9957652987814647,1,0,0.9929296374320984,0.0,0.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_01009.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_223101/mislabel_top100_images/mislabel_score_v2_add/rank005_mislabel_score_v2_add_0p9958_train_01009_label1_pred0.jpg
mislabel_score_v2_add,6,train_01119,0.9956579134516482,0,1,0.99275004863739,0.0,0.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_01119.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_223101/mislabel_top100_images/mislabel_score_v2_add/rank006_mislabel_score_v2_add_0p9957_train_01119_label0_pred1.jpg
mislabel_score_v2_add,7,train_01319,0.9946678306099074,1,0,0.9910932779312134,0.0,0.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_01319.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_223101/mislabel_top100_images/mislabel_score_v2_add/rank007_mislabel_score_v2_add_0p9947_train_01319_label1_pred0.jpg
mislabel_score_v2_add,8,train_00669,0.9940235458776755,0,1,0.9900143146514891,0.0,0.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00669.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_223101/mislabel_top100_images/mislabel_score_v2_add/rank008_mislabel_score_v2_add_0p9940_train_00669_label0_pred1.jpg
mislabel_score_v2_add,9,train_00132,0.988491112719597,0,1,0.980725646018982,0.0,0.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00132.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_223101/mislabel_top100_images/mislabel_score_v2_add/rank009_mislabel_score_v2_add_0p9885_train_00132_label0_pred1.jpg
mislabel_score_v2_add,10,train_01102,0.9783150186520287,1,0,0.9635257720947266,0.0,0.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_01102.jpg,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070103_v2_20260701_223101/mislabel_top100_images/mislabel_score_v2_add/rank010_mislabel_score_v2_add_0p9783_train_01102_label1_pred0.jpg
